bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,12,226,0.24977034330368042,0.37876665592193604
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,113,226,0.25714945793151855,0.20455250144004822
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,1,257,0.27002716064453125,0.41083481907844543
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,2,257,0.4810101091861725,0.48961323499679565
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,12,297,0.573320746421814,0.3498803973197937
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,1,67,0.3589259386062622,0.46644145250320435
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,19,67,0.3605991005897522,0.31625229120254517
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,12,247,0.32043343782424927,0.37770602107048035
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,1,263,0.32973164319992065,0.510162353515625
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,2,263,0.25943443179130554,0.4338098168373108
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,6,263,0.28023841977119446,0.38759464025497437
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,4,315,0.3672071099281311,0.38443464040756226
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,5,243,0.3636322021484375,0.34918656945228577
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,1,262,0.6334232091903687,0.3805004954338074
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,4,263,0.4187467098236084,0.4528326392173767
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,82,316,0.49343669414520264,0.26284700632095337
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,4,72,0.2595125436782837,0.38325902819633484
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,10,72,0.30153483152389526,0.3383954167366028
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,10,297,0.44513440132141113,0.3069978654384613
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,41,312,0.4992513358592987,0.21661412715911865
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,1,312,0.5578810572624207,0.46544212102890015
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,95,312,0.38072168827056885,0.11982420831918716
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,3,312,0.6056296229362488,0.40889859199523926
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,2,312,0.578210175037384,0.4221130311489105
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,3,118,0.4226216971874237,0.4514692425727844
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,5,118,0.44911062717437744,0.4079643487930298
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,120,296,0.3043360114097595,0.12851649522781372
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,2,296,0.4818832576274872,0.39827483892440796
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,7,263,0.37676578760147095,0.4219759702682495
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,44,263,0.22763948142528534,0.3351460099220276
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,10,315,0.49532902240753174,0.3697194755077362
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,5,320,0.4750838875770569,0.3396154046058655
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,74,241,0.20182877779006958,0.26077035069465637
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,9,257,0.3234509825706482,0.29310470819473267
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,12,266,0.5899532437324524,0.3525734543800354
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,6,315,0.4839382767677307,0.3850841522216797
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,7,237,0.5734025239944458,0.41608327627182007
