bug_id,gt_blob_sha,faiss_rank,model_rank,n_candidates_ranked,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,5,206,0.24977034330368042,0.4928073287010193
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,68,206,0.25714945793151855,0.3204616904258728
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,1,237,0.27002716064453125,0.522875189781189
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,3,237,0.4810101091861725,0.5044149160385132
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,9,275,0.573320746421814,0.5072401762008667
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,1,59,0.3589259386062622,0.3818686306476593
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,9,59,0.3605991005897522,0.28520041704177856
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,1,227,0.32043343782424927,0.5612599849700928
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,1,243,0.32973164319992065,0.37899884581565857
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,7,243,0.25943443179130554,0.3367886245250702
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,13,243,0.28023841977119446,0.2795969247817993
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,1,292,0.3672071099281311,0.5569713115692139
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,7,223,0.3636322021484375,0.49498096108436584
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,2,242,0.6334232091903687,0.34908193349838257
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,11,243,0.4187467098236084,0.43744224309921265
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,72,294,0.49343669414520264,0.33888497948646545
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,2,63,0.2595125436782837,0.4236700236797333
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,19,63,0.30153483152389526,0.27235984802246094
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,10,275,0.44513440132141113,0.4338908791542053
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,38,290,0.4992513358592987,0.3388887047767639
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,2,290,0.5578810572624207,0.4783279597759247
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,42,290,0.38072168827056885,0.3261209726333618
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,13,290,0.6056296229362488,0.4395478069782257
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,7,290,0.578210175037384,0.4617551863193512
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,2,105,0.4226216971874237,0.6770753860473633
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,5,105,0.44911062717437744,0.6255446672439575
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,222,274,0.3043360114097595,-0.07146880030632019
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,1,274,0.4818832576274872,0.6533151865005493
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,1,243,0.37676578760147095,0.5049147605895996
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,7,243,0.22763948142528534,0.42049020528793335
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,35,293,0.49532902240753174,0.2768256962299347
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,7,294,0.4750838875770569,0.42066478729248047
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,9,220,0.20182877779006958,0.4440934360027313
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,7,237,0.3234509825706482,0.3408297300338745
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,1,245,0.5899532437324524,0.562434196472168
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,1,292,0.4839382767677307,0.5498138666152954
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,6,216,0.5734025239944458,0.542259693145752
