bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
scikit-learn__scikit-learn-10687,32de16e2f8f27769468d8e8a1c5f7dc107134176,111,55,56,0.44886621832847595,0.005139611195772886
scikit-learn__scikit-learn-10881,26eaeaa029f10923048167d9edc3b71e426051fd,266,1,265,0.3839341104030609,0.8558511734008789
scikit-learn__scikit-learn-10881,289064718bf65d42de11a6f6e2d57e5332b1c35a,98,86,12,0.45465409755706787,0.00031015597051009536
scikit-learn__scikit-learn-10982,d9e7d3166b8ff1c6b73508ae3828ff265fe6639a,249,30,219,0.33716636896133423,0.011029469780623913
scikit-learn__scikit-learn-12860,c36e48cbcacb0a5f0f84218be1618cd65f95b9d9,200,1,199,0.4654064178466797,0.9008791446685791
scikit-learn__scikit-learn-13467,7715551fb05d80db5c506b07d7e6a10cd79a9b71,294,2,292,0.28924089670181274,0.8740772008895874
scikit-learn__scikit-learn-13536,d1d03656d2a629225d0b76db0377f45a6f54c5c2,209,11,198,0.26758691668510437,0.4373428225517273
scikit-learn__scikit-learn-13628,434d30a557540419ca5ddb259e60c8e5642f4dea,215,20,195,0.3202075660228729,0.02931223064661026
scikit-learn__scikit-learn-13628,fad416a7fc0ffb07a22a11bd7fe006b88c3216c8,127,1,126,0.3491292893886566,0.896251380443573
scikit-learn__scikit-learn-13828,1ee5213e0fefb3bab6df78f0cb2f1fe67f4229f1,155,38,117,0.4167470932006836,0.052618954330682755
scikit-learn__scikit-learn-13864,c89de13c8ff7943f405273286d0ac5095ba8002c,115,2,113,0.37473323941230774,0.8247444033622742
scikit-learn__scikit-learn-13877,29263157ebd9efb12f8890861d473dd9f83c095d,38,4,34,0.4523126780986786,0.815232515335083
scikit-learn__scikit-learn-14450,94c517992e06144b3ae647d064e650f22a9470f4,198,7,191,0.39613646268844604,0.7853085398674011
scikit-learn__scikit-learn-14458,da6a01b3ce2f63987f301918964f144a4826bc35,22,27,-5,0.5784257054328918,0.2598256468772888
scikit-learn__scikit-learn-14458,f528168519500f9129c3ad17d4cb7bc5a3c1ce56,66,99,-33,0.5394168496131897,0.00016346470511052758
scikit-learn__scikit-learn-14806,71f3a961020f543b775cef306e67dc5e4130f810,136,11,125,0.40091651678085327,0.4139508903026581
