bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Lightning-AI__lightning-1016,891ae9764fec8fb4fcd1457f382d32ef05a18220,142,1,141,0.2374531626701355,0.9123126268386841
Lightning-AI__lightning-1016,8d7c3d41c34448aa7a86b5c26aa1d5b4a5ca2d67,3,17,-14,0.5151228904724121,0.6336520910263062
Lightning-AI__lightning-1016,b3509fb68ccd049e52607b9c14d9ee5bab6804ca,164,9,155,0.20999281108379364,0.794677734375
Lightning-AI__lightning-1018,6c3a3e06b7246f5715d102fda2052f21c751395f,159,6,153,0.17819127440452576,0.7635054588317871
Lightning-AI__lightning-1100,f8470b0ec7e90e00ceb5c0021ea0a2a2646a025d,142,13,129,0.19946302473545074,0.7183057069778442
Lightning-AI__lightning-1100,8c5a906fc35733b0b0b2830a728cbd2fc82ec6c6,167,1,166,0.16900986433029175,0.9279926419258118
Lightning-AI__lightning-1152,662ecdf4af4959e689bfa85ebbe248e63800fa08,110,12,98,0.2569256126880646,0.6392152309417725
Lightning-AI__lightning-1152,a7e8118869ce5fcaf400bb4646c2141bf6574d7a,111,10,101,0.2553563714027405,0.6613016128540039
Lightning-AI__lightning-1152,8c3daa29cb96e5f149ff86f2f18b62a17146dbff,24,33,-9,0.4042677879333496,0.5326259136199951
Lightning-AI__lightning-1152,a56c6c126798e56debf542884c03598ef4f96dfa,38,44,-6,0.3612912595272064,0.4657838046550751
Lightning-AI__lightning-1152,ed878a0616e628fca8ec4515b32dd69edc7aeb7a,145,19,126,0.20811977982521057,0.5887349247932434
Lightning-AI__lightning-1152,372d215c34df2e8cc513a4e0e7285fe424fb89d9,73,15,58,0.3072293996810913,0.6297553777694702
Lightning-AI__lightning-1196,bfbca4c25db2969691d9779b8378d0b54103c872,152,5,147,0.2433956116437912,0.8412075042724609
Lightning-AI__lightning-1196,9994af6c2d108fc08602d765a64e61ce7a12937a,80,1,79,0.32305803894996643,0.8946946859359741
Lightning-AI__lightning-1196,cc44882ea5a5845710bf97501ada61ede20b81d3,191,3,188,0.17972639203071594,0.8726614117622375
Lightning-AI__lightning-1235,d0a8ee1eb1523880daf17d1a038a2973ec4ec6a7,176,3,173,0.257712185382843,0.8543016314506531
Lightning-AI__lightning-1269,95b9a6197454e2f5fd85ee2dada1f49fc0d91a8f,178,8,170,0.1960313320159912,0.789030909538269
Lightning-AI__lightning-1269,fc6007b75d7cd09cfdf4b206eb57d0db23798b81,149,7,142,0.22651368379592896,0.8379161357879639
Lightning-AI__lightning-1269,69b0376ff108c284265cdb21018a58b8200f3820,170,1,169,0.20990686118602753,0.9102432727813721
Lightning-AI__lightning-1269,8cec41da2b6fdef281bef1283f28e5243e906b3f,102,4,98,0.2838376760482788,0.8824934959411621
Lightning-AI__lightning-1269,02abae9b47ada5810dab900e2f69f7769322e5c7,146,2,144,0.23321761190891266,0.8967723846435547
Lightning-AI__lightning-128,1b35bfc5d48febed6fea43e9d232a3f690c8c347,88,19,69,0.2624545693397522,0.677486002445221
Lightning-AI__lightning-1357,f23ab045237660ea791aa996c018cec6acccd850,137,4,133,0.28413644433021545,0.8588153719902039
Lightning-AI__lightning-1357,e3a8bb16a7b145b65fa671d32158cdc4e27e5cb1,191,2,189,0.1954174041748047,0.8706958889961243
Lightning-AI__lightning-1378,fe1adf75c3fdc4abb346526ba41a010f8390f89c,82,6,76,0.3395315110683441,0.8259799480438232
Lightning-AI__lightning-1396,c7fd4d6631ead90bf26501bfa925f9a74d9f7a90,30,37,-7,0.45469191670417786,0.49188050627708435
Lightning-AI__lightning-1408,abb2a32f03e9bb9d27533a257522ad4fd17f1aff,83,9,74,0.38071945309638977,0.6191869974136353
Lightning-AI__lightning-1408,c1fa6fce210d3a80290a26bb743658aa04b17711,116,38,78,0.3440548777580261,0.471699059009552
Lightning-AI__lightning-1408,298a7bb0c420dd8ca4a117678317f5a01a08be46,144,8,136,0.2993192672729492,0.7245628237724304
Lightning-AI__lightning-1408,3ba662fb5c844f65bece822dfdba6df1e4c67bbf,194,20,174,0.24902558326721191,0.5421276092529297
Lightning-AI__lightning-1408,edb3ffec3ce264d64e48991012f9fff765cc2e42,77,42,35,0.3853645920753479,0.4490226209163666
Lightning-AI__lightning-1408,58e26f09a41f64aba852d07e8eae978b76bbe64d,28,12,16,0.4524189829826355,0.6078118085861206
Lightning-AI__lightning-1408,e4a417577743c381fd1a29c2765cb6d510e4396a,157,24,133,0.2821696996688843,0.5368052124977112
Lightning-AI__lightning-1408,469ae3ca15140845cc75992441a0860dfab137c1,220,69,151,0.2136998027563095,0.30928489565849304
Lightning-AI__lightning-1408,3e8443056c722687a876fab4f1cbcc6b9684e5a2,46,16,30,0.4311339855194092,0.5837932229042053
Lightning-AI__lightning-1408,6f672c6a75d73db3aa9e1e894474d0f756447fe7,81,26,55,0.38122081756591797,0.5351675152778625
