bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-10031,2f68c4d50a971b76e0ae7022bcc709f6eb341bd0,81,130,-49,0.4031621515750885,0.0002930709160864353
numpy__numpy-10603,c5679ace8b43b97594873be8c1a5518fdbc2017d,132,5,127,0.3862058222293854,0.7772122621536255
numpy__numpy-10608,6fce1c0475a93fce90fa0e1ecb9352115ae95012,119,40,79,0.5440382957458496,0.638719379901886
numpy__numpy-10629,65c3ed00dbd308146709b7e8a7086c613b8818f4,267,8,259,0.3838263154029846,0.7554561495780945
numpy__numpy-10732,cd99a82d7b51a1ac1b8c9e3e8113c7a3397c048d,145,15,130,0.3420853614807129,0.7591153383255005
numpy__numpy-10732,d7ab040a17237765ab6e45395e8bc8cc8bea5df1,29,28,1,0.4938656687736511,0.6948463916778564
numpy__numpy-10732,82a53bd08dbe339443bd337e12006ad2a6cf7d9d,78,14,64,0.40024974942207336,0.7650818228721619
numpy__numpy-10732,d342410b8a85856eb59aced352fbf4caa40f5932,152,13,139,0.32914888858795166,0.7732611298561096
numpy__numpy-10732,d1d6c89b513952ce0630888bcc99cf9c19ffde9d,249,17,232,0.2667372226715088,0.7557932138442993
numpy__numpy-10732,73cb3b8bfe4d1d184bb8bb66656ca360e3bc2e45,133,26,107,0.3534843921661377,0.719366192817688
numpy__numpy-10732,479d1849f98a04cfb91d44c1dd37936ec2c4d670,10,35,-25,0.5910923480987549,0.6672740578651428
numpy__numpy-10732,cb59ee1e56d9c5d58f09c598c8006bcbdffd8f2d,286,12,274,0.25471925735473633,0.7785192728042603
numpy__numpy-11358,630767dc5347df4ba4b191ae2a7bfea8d7d8ab58,129,21,108,0.4137696325778961,0.7325778007507324
numpy__numpy-11427,b7d9c4406709e5069ca573ccd10384e2475b4a15,293,12,281,0.35431164503097534,0.7570695877075195
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,192,8,184,0.43016475439071655,0.7858253717422485
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,101,17,84,0.4107465147972107,0.7051236629486084
numpy__numpy-11717,163f125c28a51dac5205769e0344300339ad372a,214,30,184,0.333351194858551,0.6835587024688721
numpy__numpy-11774,5880ea1544d4b0931e9544dbaf309dd80344f528,160,39,121,0.32414567470550537,0.6874120235443115
numpy__numpy-11805,d84455a8f269d45fc5df179d12d83801a5ad208f,115,45,70,0.3445197343826294,0.6471582651138306
numpy__numpy-11813,d31d8a9398b518012e3517bc4240844732b16cf2,9,12,-3,0.553960919380188,0.7228797078132629
numpy__numpy-12358,1ef3dca47ec5aea6b41a0a676e52d4686684f43d,241,5,236,0.485374391078949,0.7033329606056213
numpy__numpy-12408,9ee44e9ff61bcebf59327bbe25c74d10a8370d62,255,12,243,0.2956361770629883,0.6836152076721191
numpy__numpy-12807,8750ed0b3d19e9052733af6e6ba01ad1f4455885,201,99,102,0.4461132884025574,0.0374755822122097
numpy__numpy-13242,6dd6982dfe6a93d2319ea3f5a342e432d26a528a,247,39,208,0.3099439740180969,0.6907302737236023
numpy__numpy-15124,f09f2a465d0eceb85066c6cce81f619bdc6b074b,118,12,106,0.45216405391693115,0.7099222540855408
numpy__numpy-15928,7eeed7825bddd659b4bfc593c17bd733964fd079,184,5,179,0.3382463753223419,0.7319982647895813
numpy__numpy-15938,40d632ec55ef8bd20ad9c751e17902022e05a58c,273,15,258,0.47311651706695557,0.7222564220428467
numpy__numpy-15949,fa888107f8269c0c64288f1c191e198d8dc0f96a,173,10,163,0.33120524883270264,0.7155786156654358
numpy__numpy-16300,613bcb550dfd1bc3386862c8f014cc8bc818b0a3,107,3,104,0.5749918222427368,0.7497934103012085
numpy__numpy-16300,4e320576bdb34e507caf98665a9365e962e0818e,250,8,242,0.5244961380958557,0.7335522174835205
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,221,12,209,0.3851633667945862,0.743843138217926
numpy__numpy-17636,dcf60ada9297180308729db7ccc23c416f86f0f9,180,33,147,0.4200010895729065,0.35047784447669983
numpy__numpy-18911,aea9835c78e2653460204fe33503d3011a746d1e,65,14,51,0.49411141872406006,0.7167052626609802
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,229,9,220,0.3824540376663208,0.7124912738800049
numpy__numpy-19775,fd229dbef8f92d18d7627ce53a69f3fb97335e83,284,56,228,0.37625908851623535,0.08548914641141891
numpy__numpy-21187,5bc9113af1be4393edfb2c93ffc4361e438a89de,211,82,129,0.4631156921386719,0.01962989754974842
numpy__numpy-21654,b4741355f2364b2ececb57a8dab085c17967ee36,167,14,153,0.31920814514160156,0.6341583728790283
numpy__numpy-21654,6382732dcd499bc01b0eb30d4ca733ea977276f6,22,1,21,0.36943620443344116,0.7670018076896667
numpy__numpy-21654,5a3addf4cd3d426e4221b26e7f69607b66384f8c,9,39,-30,0.38759124279022217,0.2635398805141449
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,25,96,-71,0.48083406686782837,0.010015135630965233
numpy__numpy-23097,e70a1fddca74757f3cd7899c25450a58c0e17781,146,17,129,0.4063252806663513,0.593329668045044
numpy__numpy-23097,1fe7a6f4d816274b65d27dd44cbcc6296ff09255,119,2,117,0.414303719997406,0.7328792214393616
numpy__numpy-23097,6f203e87271109763f2f947b711bd4124cd1138a,293,6,287,0.37199002504348755,0.6861090660095215
numpy__numpy-3059,3a9eb3b137d267ef7abf5dde9ff4dab0ae05f9a7,218,3,215,0.309141606092453,0.8777807354927063
numpy__numpy-3059,612d1e1477532d04f42c515a9e773845406fcc53,297,10,287,0.28629761934280396,0.8412340879440308
numpy__numpy-3059,ed9801ceb1a9d9794d646d3511d16ccf1d620f0d,106,6,100,0.3502745032310486,0.8674845099449158
numpy__numpy-3097,e45f9950e8a20260e470eb99b9d642bb24980b6f,119,65,54,0.36240512132644653,0.5355836749076843
numpy__numpy-3121,1bb7a0a27132290d6008e88e8d43fd8952fda200,104,147,-43,0.3425463140010834,0.008539807982742786
numpy__numpy-3121,552b086d5cedabab6907ef492c6b14e227c16a42,230,111,119,0.2627549171447754,0.14525821805000305
numpy__numpy-3121,8c43f97c0343a51b53ced565e2ab120661051946,296,21,275,0.23652885854244232,0.7912399172782898
numpy__numpy-3121,c22aacb9ab06349c16eec82bc4f3d6de212483ad,123,8,115,0.3197813332080841,0.8471176624298096
numpy__numpy-3121,be7a6cce85175977b05aed63ff6e356714c540b7,153,29,124,0.30099785327911377,0.7585601806640625
numpy__numpy-3121,70093e037082fdda699937dcde8f5174f7663e8f,56,6,50,0.40436601638793945,0.8564481139183044
numpy__numpy-3121,48f1eb8dc6df34863ba4f163e1a73369da374a86,2,180,-178,0.6257755756378174,0.0004064803069923073
numpy__numpy-3185,e111fdb83e78c8a5a6c266d384d13226669b2a4e,9,68,-59,0.5656776428222656,0.49018511176109314
numpy__numpy-3244,ea8d986569b869db8bb3f018c8253dc177ad6442,278,2,276,0.2358090877532959,0.9129244685173035
numpy__numpy-3244,0caf6ebebe6db332915df6245974b7cd24bd50c5,163,26,137,0.2803918421268463,0.8224073052406311
numpy__numpy-3266,3fb69a705d69dd1cb049a4b4470b49cf2696a198,264,44,220,0.257563054561615,0.6725300550460815
numpy__numpy-3266,5c9574917e88e300f1030d02155e60c733eeafbe,146,16,130,0.298638254404068,0.7845417857170105
numpy__numpy-3266,4e4630eb01d7e9104a01626ec60e283d0b76c3f2,270,17,253,0.2564167082309723,0.779050886631012
numpy__numpy-3266,23a945fce996c0015597d806fe6582eead0bf39d,66,19,47,0.383121132850647,0.7782047390937805
numpy__numpy-3266,fe122d4db9ebf0e759636cfbaf354219ff210442,87,41,46,0.3480362892150879,0.6838604211807251
numpy__numpy-3266,ffa5140bc2daed38e5379dc39187f66359a9e74d,89,2,87,0.3439195454120636,0.8228934407234192
numpy__numpy-3266,61f6ba751834926d842843a96b3a55292fe5f9ae,149,7,142,0.297778844833374,0.8179699182510376
numpy__numpy-3266,494343b289d87a09bd7243e52aadafd71827d97a,24,27,-3,0.45475223660469055,0.740985631942749
numpy__numpy-3266,2175628d663f9b48fb0459ce894397f3e9c127e9,220,11,209,0.27277886867523193,0.8025298714637756
numpy__numpy-3266,917623bba12fdea349d9182ae9b86f0d22b5fd2c,74,8,66,0.36420637369155884,0.8136851191520691
numpy__numpy-3266,0e3a9627e44def956c529a4942dbb724e8e4b16c,189,28,161,0.2818254232406616,0.7396003603935242
numpy__numpy-3266,a75c95e911e21004367db06536643c68e87bc8d8,84,38,46,0.35075581073760986,0.6946080923080444
numpy__numpy-3266,5b3454b3a76d457703f3dc73c04f64a21c36b1d4,258,67,191,0.25964874029159546,0.5540946125984192
numpy__numpy-3266,361ccb18332e6d89889c8cb531a5a0a2b4b380bf,14,49,-35,0.4995357394218445,0.6422218680381775
numpy__numpy-3281,ba89637eb50e3fd665f6152701c482d1ad05f981,202,5,197,0.28672510385513306,0.8281963467597961
numpy__numpy-3281,d1084b75eeb7fd54f4b21ecc8eac0dc6e4c849bb,216,185,31,0.28204384446144104,0.0005343331140466034
numpy__numpy-3281,de8606167e11e7fd925819906f988194789714e7,195,21,174,0.28771257400512695,0.7825469970703125
numpy__numpy-3281,5811be876962a5a288d02ed4a568d7af0db197e3,230,122,108,0.2777837812900543,0.05629715323448181
numpy__numpy-3281,a76401ac92a75756a6ffc8dbc6bfef47f91c3ba7,288,73,215,0.2629426419734955,0.4439602792263031
numpy__numpy-3281,3f91046d2fda754fdecce9277098acc2e7bbd38c,284,10,274,0.26329365372657776,0.8151388764381409
numpy__numpy-3281,98f58e33326d024e026bba40fee5a5dfa4458254,214,86,128,0.2824476957321167,0.27080968022346497
numpy__numpy-3281,4e4d94cd68a6f024a8e92d1ec051ee563f0a3e6b,188,24,164,0.2906799912452698,0.7730532288551331
numpy__numpy-3281,5d6bea3ca9aae493aa6b9496e067141954209fd9,111,146,-35,0.34296879172325134,0.010686546564102173
numpy__numpy-3281,4e00b1cbc551ffed6b7512da17fce3c9cc3243cb,211,67,144,0.2833446264266968,0.5479731559753418
numpy__numpy-3281,57ab3ce78348a00021169a1c3ce77225aa706c79,160,9,151,0.30400514602661133,0.8175333738327026
numpy__numpy-3281,6e0cfcddb79d1dd7c26a88fbfa80f1af5665cb2f,209,37,172,0.28349190950393677,0.704563319683075
numpy__numpy-3281,af59d687eb82f7f07ee1c53ad80ce7d1cc124c9b,54,112,-58,0.4211919903755188,0.11907829344272614
numpy__numpy-3281,775929fa177787047e25ea3da9eeaf5cb3d7f184,71,47,24,0.3912282884120941,0.6658125519752502
numpy__numpy-3281,4c5b7e9fc970efb333b1145b036cb70451db2b25,242,22,220,0.2741357088088989,0.7772680521011353
numpy__numpy-3281,b68a79b642a394ff71130c3ebd66492892749d15,157,35,122,0.3080853521823883,0.7103289365768433
numpy__numpy-3281,a16a07d591f201872817a7f40298270b979571e0,101,167,-66,0.3471492528915405,0.0027352869510650635
numpy__numpy-3772,1c8cea4f7e4a49c52c24ef3712149d79bf5decbe,193,13,180,0.42455583810806274,0.6918922066688538
numpy__numpy-4304,12c0f9bb367b2956fb0940c0340a936331193fb3,93,16,77,0.412156343460083,0.6827961206436157
numpy__numpy-4344,5cd535703690b83b761b35f77f5e39afdfda1be6,101,62,39,0.37605637311935425,0.3719583749771118
numpy__numpy-4400,59e8777506f018e55062c56d0d5937a6170b76e8,177,28,149,0.3670753538608551,0.6691128015518188
numpy__numpy-4677,fe3c037890d1c2fdee67546f02de334e5742dab9,107,7,100,0.5060564279556274,0.6748194098472595
numpy__numpy-4872,a8925592a6c6ea0a0089b623c8c123a28e6a11e5,293,19,274,0.3192961513996124,0.7222415804862976
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,280,7,273,0.30664128065109253,0.7467898726463318
numpy__numpy-5468,2a527a4a483bdb56ec5e0727710b3d3596bb5b67,255,7,248,0.3506262004375458,0.7209702730178833
numpy__numpy-5489,bedd0e941f2fa7b9df550240f3eaa828db370241,185,1,184,0.3357307016849518,0.8287420272827148
numpy__numpy-5490,1b3d75db6e3ecd88d0dbaa0705ae21088334c8af,274,1,273,0.2741350531578064,0.8135268688201904
numpy__numpy-5518,0b18bc6c62fa4476d6eb21b7167c5a96282ece96,163,47,116,0.3553133010864258,0.5457538366317749
numpy__numpy-5638,536a576dd101a2c712847b248b82879cc3562382,291,15,276,0.25767308473587036,0.7409303188323975
numpy__numpy-5981,1e3208ac8e85c18e0ffa07ebfad02e1c99143017,108,17,91,0.5164507627487183,0.6323703527450562
numpy__numpy-6199,86d75763013663fe07a1a0804ddf3de47d11fa70,239,1,238,0.4218173623085022,0.8168104887008667
numpy__numpy-6199,44bd48df7201a70fa2a1376f9e2042efac2ac716,130,4,126,0.4605769217014313,0.7455884218215942
numpy__numpy-6660,d95a362ca6bc0b2ee6cff3ba8870b621118da6e1,10,6,4,0.3687290549278259,0.6686936616897583
numpy__numpy-6660,a6e4a8dac3b03d75c01de8fa208bbe2c7bb128e8,194,1,193,0.24177061021327972,0.7307606935501099
numpy__numpy-7152,dad1f47649d04d41786d34b9066db58f32f972c3,266,14,252,0.25892210006713867,0.6540228128433228
numpy__numpy-7218,690655b361b8d6fbd3e28a86383e193cc6e7cdaf,102,8,94,0.5241984128952026,0.7513006925582886
numpy__numpy-7260,f3d30d15c44122411d6f3da50249c7af221b64f3,176,5,171,0.46002697944641113,0.6859179139137268
numpy__numpy-7667,3533a59fcafd7a37ea7814105d34c4e13c0a9af5,227,1,226,0.366203635931015,0.7269451022148132
numpy__numpy-8148,25cc5355c45c2e1ebdb51b135b26db3808018066,217,14,203,0.32883328199386597,0.6623286008834839
numpy__numpy-8388,a59fe3cc4e327cb73d419401707cc2e638f11835,80,26,54,0.36302340030670166,0.7287662029266357
numpy__numpy-8423,fae3e3cbce178bf9085907ee78c4c093ea6c0f30,138,35,103,0.3366873264312744,0.6856521964073181
numpy__numpy-8423,141df2ace8aadb3c15fe124e34c17c6f0975f6d6,225,66,159,0.30306684970855713,0.1922149360179901
numpy__numpy-8474,ff21302977645ab750f3d6e0d1a52e3fe6b781a6,124,108,16,0.3324892520904541,0.015869366005063057
numpy__numpy-8555,49888ee09f42df01c0b752460284c2aa67b951dd,106,76,30,0.3873566687107086,0.09301919490098953
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,265,7,258,0.19103851914405823,0.743704617023468
numpy__numpy-8816,1fd530f330eaf5299e65d29d982d190d92e3691b,243,20,223,0.3657078742980957,0.6761811971664429
numpy__numpy-8905,3ce44caf7e23f59fd59097130426dce0576272b7,195,10,185,0.32052233815193176,0.7315042018890381
numpy__numpy-8988,4a07815e84acb8e0e44ebecaecc3982f1555eca9,257,4,253,0.34191179275512695,0.7530727386474609
numpy__numpy-8996,b6c017b968d312fe04b502a9f999127e2e645e0a,192,52,140,0.43606334924697876,0.4101717472076416
numpy__numpy-9054,01741cd1afb6b2f27e92f70294d561c1af465fe6,203,5,198,0.3278385400772095,0.7085140347480774
numpy__numpy-9552,d0d384a62d8241bfe79a89000ef24e79738eaa1f,108,37,71,0.37994688749313354,0.659988284111023
