bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
PrefectHQ__prefect-101,40af06a3ab551c74ffbab466cf5c6f037af3d782,51,11,40,0.17317035794258118,0.8203360438346863
PrefectHQ__prefect-1037,c7d058e3dbf19b6eb3898cb0d04715de059d2cc2,186,33,153,0.32953721284866333,0.5285645127296448
PrefectHQ__prefect-1118,09db18f401d6fdd29d6c5a5cc56e438f6da23d45,292,10,282,0.2746102809906006,0.8222757577896118
PrefectHQ__prefect-1319,b338c5dd3d575d81b9e1bfb06477af2dca3d26d1,113,20,93,0.3620644807815552,0.776649534702301
PrefectHQ__prefect-1319,0425c6296179aa1dd4a027900acd27adaef74fa2,53,37,16,0.40121766924858093,0.5806318521499634
PrefectHQ__prefect-1319,f036ea548624f7e6f522e0a2d6697b97308955d3,37,9,28,0.41820546984672546,0.8698931336402893
PrefectHQ__prefect-134,45a64b879d0a4d6936128f56ee9f4b2693b231c2,22,30,-8,0.24865050613880157,0.6903249621391296
PrefectHQ__prefect-1368,486ca9d29ec082970c46b083ade475548f164c5e,70,42,28,0.3587632179260254,0.6301828026771545
PrefectHQ__prefect-1375,536af5cc776265eb0c9a1221d94986c57856809d,164,1,163,0.342262864112854,0.9563741087913513
PrefectHQ__prefect-1420,19ce7ad51d7e98058db68f5a827627c17e078a02,238,32,206,0.3189697861671448,0.44513657689094543
PrefectHQ__prefect-1431,8a0d0de576d815ae9a0b0361e5816296ba3a280a,129,43,86,0.2966655492782593,0.6949355006217957
PrefectHQ__prefect-1525,dc18e97fcfedda802d07970715b01027b9cc9992,232,9,223,0.30281612277030945,0.8912767171859741
PrefectHQ__prefect-158,8cbc80eb56cfaf9beb898088ef1edc1075015f78,90,9,81,0.2615870535373688,0.8765832185745239
PrefectHQ__prefect-158,682fb497b5386ea42d1e00acde4b9a2949489b16,102,2,100,0.21556700766086578,0.9374401569366455
PrefectHQ__prefect-158,5b49bc6cd8dfb8332e8ae401c3bb866c136e8f8d,103,7,96,0.21133953332901,0.8843443989753723
PrefectHQ__prefect-158,07450a943cdaf82a572fbf08df51182ff374d4f1,106,6,100,0.20507794618606567,0.9284065365791321
PrefectHQ__prefect-158,62c6d4c28e7ba25ebcab26d73f0b3e99fa0a1120,9,1,8,0.4979844093322754,0.9396531581878662
PrefectHQ__prefect-170,97b03ecf3b448b5686ca29f79a34bc730b8f8065,50,23,27,0.2848324477672577,0.7524691820144653
PrefectHQ__prefect-170,2c995e3a8d20c31581f570d46c9fc3eabf5183d8,80,13,67,0.24440133571624756,0.8199156522750854
PrefectHQ__prefect-1729,04ca6ad102fdc43ed40d48d8ec7cc52beb0ee406,10,3,7,0.5652456879615784,0.9232141375541687
PrefectHQ__prefect-177,852938b0af0463fea4b7aaf30ccc24a075c3c22b,115,11,104,0.19709648191928864,0.8431622982025146
PrefectHQ__prefect-177,97ac677cef1b6148cf6e90c3a828d38049dfb3cc,19,2,17,0.3677903413772583,0.9223828315734863
PrefectHQ__prefect-187,dd6385891c04c0973a18e1bb691539c8bb18b35a,116,33,83,0.16251684725284576,0.7213664650917053
PrefectHQ__prefect-187,622ecbe48bb62b5f30de6476a7f6f45316038147,9,27,-18,0.3948805034160614,0.7654515504837036
PrefectHQ__prefect-187,154ec54dcf07578a68a23565525270b666fc29a9,87,31,56,0.2531259059906006,0.748443603515625
PrefectHQ__prefect-2031,bb2692f0a5b976db136fa87772f2a20abb76b785,175,11,164,0.4135722517967224,0.858557403087616
PrefectHQ__prefect-205,955ead2d0e9e54aa50e772820d3931dc31b91c38,131,6,125,0.14177274703979492,0.9198309183120728
PrefectHQ__prefect-205,0168d1de54168057eac1646ccd368d5372e5573b,22,2,20,0.3283247649669647,0.933469295501709
PrefectHQ__prefect-2054,c691310edb0502bac2e90dd6a10e625d4b81a32f,233,2,231,0.3976629972457886,0.9433208703994751
PrefectHQ__prefect-2054,503ced0a3cfa8c5a1b661693475df44706fea927,128,11,117,0.446255624294281,0.9041829705238342
