bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
wagtail__wagtail-118,24fd0a2f1d0d2223631265eae41a26718bd7468d,118,44,74,0.36129581928253174,0.001597845577634871
wagtail__wagtail-1273,f938585c1fc93d48c7a0eb74c86c3aab5a389c4d,282,1,281,0.29578545689582825,0.9866748452186584
wagtail__wagtail-1475,36cc6294a4b54e6a8b0c7e4939ca0a66db492661,109,32,77,0.3804914951324463,0.0001442598586436361
wagtail__wagtail-1623,53dbe297a30fcc90491f1aae898549a3d9d8e814,108,2,106,0.38916605710983276,0.9613164663314819
wagtail__wagtail-208,6e30381c1b30896e34b5ed761d202f95b850beff,121,56,65,0.33156171441078186,2.3588654585182667e-08
wagtail__wagtail-208,c144b39b937e7046bb0f4a6875959d6bdc4f22fc,43,17,26,0.36197078227996826,0.6076632142066956
wagtail__wagtail-208,04d8b0a9ebfefb65b0dea8afee6b193a564e7a40,146,10,136,0.32445305585861206,0.7746686339378357
wagtail__wagtail-208,9d6b9590c2ee957f6e33d6fc6de91ec0557f3195,45,31,14,0.36197078227996826,0.0015011822106316686
wagtail__wagtail-208,027d61158102d46052094b8dc22348782f70f743,23,38,-15,0.4871237874031067,5.255395535641583e-06
wagtail__wagtail-208,500c4920cdd66176f9c9daa64bfcf54414322b6d,248,4,244,0.29931220412254333,0.9434518814086914
wagtail__wagtail-208,adc492adac433aa9bbf0afad8dba9630974b91de,66,30,36,0.36197078227996826,0.0015731120947748423
wagtail__wagtail-2880,d6bdc14aefbd5075ad61836538ba26e351187353,116,88,28,0.37131398916244507,4.018610097467068e-11
wagtail__wagtail-321,69e6b7f4f43bbeedbd9f1886d8381d670f9767a9,50,11,39,0.3817359209060669,0.7534666657447815
wagtail__wagtail-356,6b273e4b6539ca1dfd5ddf6f6ee620146fa95d6a,249,8,241,0.24634240567684174,0.9393594861030579
wagtail__wagtail-356,ee68f46554f5024c443da29ed842f0ed0c3c0c2e,147,147,0,0.28654325008392334,1.5628821837904738e-18
wagtail__wagtail-426,f3c871507ae1031a399184d02404a80968fffe07,218,34,184,0.24058164656162262,2.2125668692751788e-05
wagtail__wagtail-426,f0336fec46a941eb474ee1980487f2411cb4b185,267,49,218,0.22150926291942596,5.315785500670245e-08
wagtail__wagtail-426,cf33bcbfbf826da61024c9fed5ff1503d5e0e369,246,6,240,0.23048977553844452,0.9310875535011292
wagtail__wagtail-6442,57381ec39206272784831bb77dddb9f11ba322f5,208,21,187,0.4495598375797272,0.19837458431720734
wagtail__wagtail-7512,92c8d8e9574318ae475c3be7c66d357ed8ef6342,178,23,155,0.339476615190506,0.1650540828704834
wagtail__wagtail-8006,039b36031b83c2a09405921f8c419fad74dbf52d,34,4,30,0.4750801622867584,0.6242935061454773
wagtail__wagtail-9236,88cc36875a110c7c1e8a283b1a695d59998deea9,101,15,86,0.4098171591758728,0.23970511555671692
