bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
scikit-learn__scikit-learn-10881,26eaeaa029f10923048167d9edc3b71e426051fd,57,11,46,0.48735618591308594,-0.6425032615661621
scikit-learn__scikit-learn-10881,289064718bf65d42de11a6f6e2d57e5332b1c35a,172,22,150,0.42453551292419434,-0.8658885955810547
scikit-learn__scikit-learn-14450,94c517992e06144b3ae647d064e650f22a9470f4,82,24,58,0.45275139808654785,-1.0600087642669678
scikit-learn__scikit-learn-13864,c89de13c8ff7943f405273286d0ac5095ba8002c,126,20,106,0.3661954700946808,-0.592998206615448
scikit-learn__scikit-learn-10687,32de16e2f8f27769468d8e8a1c5f7dc107134176,13,17,-4,0.5180132389068604,-0.34873783588409424
scikit-learn__scikit-learn-10982,d9e7d3166b8ff1c6b73508ae3828ff265fe6639a,128,12,116,0.39613640308380127,-0.9279348254203796
scikit-learn__scikit-learn-13467,7715551fb05d80db5c506b07d7e6a10cd79a9b71,131,4,127,0.371929407119751,-0.05936512351036072
scikit-learn__scikit-learn-13828,1ee5213e0fefb3bab6df78f0cb2f1fe67f4229f1,196,43,153,0.40584859251976013,-1.0737971067428589
scikit-learn__scikit-learn-14458,f528168519500f9129c3ad17d4cb7bc5a3c1ce56,82,52,30,0.5342444181442261,-0.8643546104431152
scikit-learn__scikit-learn-14458,da6a01b3ce2f63987f301918964f144a4826bc35,19,41,-22,0.5939521193504333,-0.6494448781013489
scikit-learn__scikit-learn-13877,29263157ebd9efb12f8890861d473dd9f83c095d,5,30,-25,0.49571776390075684,-1.1211235523223877
scikit-learn__scikit-learn-14806,71f3a961020f543b775cef306e67dc5e4130f810,150,11,139,0.39598312973976135,-0.8887168169021606
scikit-learn__scikit-learn-13628,434d30a557540419ca5ddb259e60c8e5642f4dea,842,7,835,0.24547477066516876,-0.9972553849220276
scikit-learn__scikit-learn-13628,fad416a7fc0ffb07a22a11bd7fe006b88c3216c8,686,4,682,0.26345887780189514,-0.6519893407821655
scikit-learn__scikit-learn-12860,c36e48cbcacb0a5f0f84218be1618cd65f95b9d9,78,12,66,0.5258562564849854,-0.11785100400447845
scikit-learn__scikit-learn-13536,d1d03656d2a629225d0b76db0377f45a6f54c5c2,151,3,148,0.30402320623397827,-0.0885789766907692
