bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,37,31,0.25714945793151855,-0.757683277130127
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,15,61,0.2497703731060028,-0.6098390817642212
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,38,126,0.27002716064453125,-0.7208947539329529
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,40,-23,0.4810100793838501,-0.7841149568557739
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,19,-8,0.573320746421814,-0.5141999125480652
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,7,7,0.3605991005897522,-0.7552413940429688
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,25,-10,0.3589259386062622,-2.573517322540283
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,22,48,0.3204334080219269,-0.644519567489624
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,46,47,0.28023844957351685,-0.8472954034805298
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,1,121,0.25943443179130554,-0.46132951974868774
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,10,22,0.32973164319992065,-0.5842071175575256
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,26,89,0.36720705032348633,-0.6397275924682617
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,6,53,0.3636322021484375,-0.5784331560134888
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,19,-13,0.6334232091903687,-0.6065206527709961
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,49,20,0.4187467098236084,-0.9230903387069702
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,77,34,0.22763945162296295,-2.045243740081787
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,26,-12,0.37676578760147095,-0.6907461881637573
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,30,0,0.49343669414520264,-0.6499701738357544
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,23,4,0.2595125436782837,-2.2849721908569336
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,4,14,0.3015347719192505,-0.5880464315414429
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,19,-5,0.44513440132141113,-0.6300612688064575
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,5,1,0.5782101154327393,-0.5099487900733948
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,7,6,0.5578809976577759,-0.5263909101486206
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,30,83,0.38072168827056885,-0.6479759216308594
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,10,-7,0.6056296229362488,-0.5387498140335083
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,26,15,0.4992513656616211,-0.6352498531341553
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,17,-10,0.4226217269897461,-0.6578764915466309
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,30,-28,0.4491106867790222,-1.4290037155151367
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,24,8,0.48188328742980957,-0.6452357172966003
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,156,-38,0.3043360114097595,-3.477712631225586
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,18,35,0.49532902240753174,-0.5640585422515869
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,15,37,0.4750838279724121,-0.579514741897583
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,22,110,0.20182877779006958,-0.5789101123809814
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,42,100,0.3234510123729706,-0.6977362036705017
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,9,9,0.5899532437324524,-0.5576257705688477
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,1,19,0.4839382767677307,-0.5523888468742371
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,21,-5,0.5734025239944458,-0.6512943506240845
