bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,15,61,0.24977034330368042,0.297091007232666
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,104,-36,0.25714945793151855,0.1984189748764038
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,1,163,0.27002716064453125,0.5259143114089966
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,4,13,0.4810101091861725,0.514080286026001
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,32,-21,0.573320746421814,0.3861086964607239
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,2,13,0.3589259386062622,0.409873902797699
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,18,-4,0.3605991005897522,0.2795296907424927
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,13,57,0.32043343782424927,0.35015058517456055
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,1,31,0.32973164319992065,0.4482818841934204
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,2,91,0.28023841977119446,0.3979417681694031
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,3,119,0.25943443179130554,0.38497674465179443
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,1,114,0.3672071099281311,0.40108439326286316
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,2,57,0.3636322021484375,0.37859925627708435
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,2,4,0.6334232091903687,0.34548917412757874
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,6,63,0.4187467098236084,0.35660529136657715
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,74,-44,0.49343669414520264,0.24428576231002808
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,2,25,0.2595125436782837,0.32017770409584045
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,10,8,0.30153483152389526,0.21742665767669678
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,63,-49,0.44513440132141113,0.24934184551239014
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,30,83,0.38072168827056885,0.21857476234436035
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,2,4,0.578210175037384,0.4157462418079376
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,4,-1,0.6056296229362488,0.35116735100746155
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,1,12,0.5578810572624207,0.4725669026374817
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,27,14,0.4992513358592987,0.2364056408405304
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,5,-3,0.44911062717437744,0.46429476141929626
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,2,5,0.4226216971874237,0.5245206356048584
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,7,25,0.4818832576274872,0.4141497313976288
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,102,16,0.3043360114097595,0.25972896814346313
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,18,93,0.22763948142528534,0.33122682571411133
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,1,13,0.37676578760147095,0.4411139488220215
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,17,36,0.49532902240753174,0.2660601735115051
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,3,49,0.4750838875770569,0.37006860971450806
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,2,130,0.20182877779006958,0.4281962513923645
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,1,141,0.3234509825706482,0.35261738300323486
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,1,17,0.5899532437324524,0.38582921028137207
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,8,12,0.4839382767677307,0.3467748463153839
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,1,15,0.5734025239944458,0.41179072856903076
