bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
Lightning-AI__lightning-689,168e983585c2a0e29300aa4b2bc931122396d952,9,1,8,0.3684312701225281,0.3576177954673767
Lightning-AI__lightning-128,1b35bfc5d48febed6fea43e9d232a3f690c8c347,99,2,97,0.25580739974975586,0.3431815505027771
Lightning-AI__lightning-1152,8c3daa29cb96e5f149ff86f2f18b62a17146dbff,126,1,125,0.2449750155210495,0.4599481225013733
Lightning-AI__lightning-1152,a56c6c126798e56debf542884c03598ef4f96dfa,77,6,71,0.3072294294834137,0.3133125901222229
Lightning-AI__lightning-1152,ed878a0616e628fca8ec4515b32dd69edc7aeb7a,197,10,187,0.130454421043396,0.27281254529953003
Lightning-AI__lightning-1152,372d215c34df2e8cc513a4e0e7285fe424fb89d9,24,7,17,0.404267817735672,0.3000689148902893
Lightning-AI__lightning-1152,a7e8118869ce5fcaf400bb4646c2141bf6574d7a,123,9,114,0.24823229014873505,0.2970382571220398
Lightning-AI__lightning-1152,662ecdf4af4959e689bfa85ebbe248e63800fa08,117,5,112,0.2553563714027405,0.3396584391593933
Lightning-AI__lightning-625,ef2e4d4cc799d51f1f5b6456abe0cf71edc54f21,16,4,12,0.3310748338699341,0.2285885214805603
Lightning-AI__lightning-1477,538d717afcd63af4eeb809ce374c780a6b06222a,77,1,76,0.2827727198600769,0.4589526653289795
Lightning-AI__lightning-2970,9e9f64140984349cb93426ad4b9fe8b6abd60380,125,60,65,0.29257822036743164,0.1521109938621521
Lightning-AI__lightning-2970,8b45d109866901187e5447c6dae8d512accb0453,55,1,54,0.3550642132759094,0.3754356801509857
Lightning-AI__lightning-1589,73efaf67c486bb6aa718d43f9b89f5e8795fcd64,18,1,17,0.46279364824295044,0.35557886958122253
Lightning-AI__lightning-2062,f5eafe990d1fa6485d4973c400ae4854e0a8d597,198,11,187,0.18734878301620483,0.30282747745513916
Lightning-AI__lightning-2062,2c8b8a85a92c31277436e57785b41464afc0fcd2,131,8,123,0.2317381203174591,0.31691598892211914
Lightning-AI__lightning-2062,cac5b2bcff1ee2a2ec402297061989b3bf7113f5,40,3,37,0.33755552768707275,0.38897526264190674
Lightning-AI__lightning-2062,74d8cf3d62a7e56d3dbeb0bd2fdf949563dfcecc,79,2,77,0.2811518907546997,0.39056986570358276
Lightning-AI__lightning-715,1abc349e1ef210afbf4153351e935dfe00f521f5,90,1,89,0.14080286026000977,0.36227095127105713
Lightning-AI__lightning-2160,12ce47398d3b376825873bb2f4e5958a3550b4cd,133,27,106,0.22138527035713196,0.27631497383117676
Lightning-AI__lightning-2160,6f4e85d5b28e44ce5d3b7df9a51486971e85692a,113,105,8,0.2411881536245346,0.18360602855682373
Lightning-AI__lightning-2160,ed299bb8a816e070bd75d0bc4089b2b5bed559f6,192,147,45,0.1488838940858841,0.1482677161693573
Lightning-AI__lightning-2930,433ea970877db6b4f99ef9b51a1d455984f0d329,35,2,33,0.39281439781188965,0.36398762464523315
Lightning-AI__lightning-2930,ec5bd0938d15c7e0f011014a483b7b4cf9aac82e,199,1,198,0.24868884682655334,0.36694735288619995
Lightning-AI__lightning-2930,ea62fdab2e9960ac1e3a9bfdf290578e9ceffb43,184,24,160,0.2620616555213928,0.25699788331985474
Lightning-AI__lightning-1357,f23ab045237660ea791aa996c018cec6acccd850,12,18,-6,0.572687029838562,0.26399701833724976
Lightning-AI__lightning-1357,e3a8bb16a7b145b65fa671d32158cdc4e27e5cb1,13,6,7,0.5519487857818604,0.33988186717033386
Lightning-AI__lightning-2339,c207d8255d0c22c9036f676873eaaf50296005b4,45,2,43,0.3511050343513489,0.4433881342411041
Lightning-AI__lightning-1459,19587509b17aa9c338c9599c65c288ec3e46f1b7,22,19,3,0.48935937881469727,0.24410784244537354
Lightning-AI__lightning-1459,3f890bba27abc9aa356e42f6dd19f70ad9d954a1,79,5,74,0.41266167163848877,0.34571632742881775
Lightning-AI__lightning-1459,7ae3ec85ed5508bbb90044890b61939e85bb179c,50,2,48,0.4496094584465027,0.360121488571167
Lightning-AI__lightning-1459,8cabfae52e07a8108b97d1ba402fd446f525187d,193,9,184,0.23613862693309784,0.28475600481033325
Lightning-AI__lightning-1459,a2d64ff4ed18f6fdaeac3e2d979ecd6ff73371ff,120,1,119,0.331648051738739,0.43286657333374023
Lightning-AI__lightning-1459,46b4fc48e6508b92b5f7a13f06fcc65f6f7f3e48,11,20,-9,0.5253053903579712,0.2307899445295334
Lightning-AI__lightning-1459,dcaddadfaca2bfa215e4c271f05c57bf1f1b74ac,49,7,42,0.4514777362346649,0.31191593408584595
Lightning-AI__lightning-1459,ee9d65a73cbf1850b10f3bf5a1f3fac56fff7b6c,93,22,71,0.3779943585395813,0.2121085226535797
Lightning-AI__lightning-1459,6006cab467baa77d9b96febc5ca1a75ea8af04bc,46,13,33,0.4542319178581238,0.25575506687164307
Lightning-AI__lightning-2358,9d1736e6eb83663ae4768f3fcf107d910b439b0a,10,13,-3,0.4702472686767578,0.2981211841106415
Lightning-AI__lightning-2358,4ff019a20c6aea2091c055aa0ff2d9a574f9307c,54,41,13,0.36958515644073486,0.19934014976024628
Lightning-AI__lightning-2358,de5bd1918e03b08b27227854806c266a1c21c6a3,207,202,5,0.2389046996831894,-0.04503191262483597
Lightning-AI__lightning-2358,8818b899a21cd2e521cba39ac39326a27141063a,18,74,-56,0.44447654485702515,0.1309722661972046
Lightning-AI__lightning-2358,59614c2d5fb390d857193ba7c3c04b81e58a626b,28,53,-25,0.4213819205760956,0.17018485069274902
Lightning-AI__lightning-2358,6fecd27f0bf401a45f065ebfea22a56663296b8c,17,19,-2,0.4562327563762665,0.25184983015060425
Lightning-AI__lightning-2358,605efc0bbcc9cfc7c2200fecd550331a1a2e33ec,41,67,-26,0.3829330801963806,0.13928383588790894
Lightning-AI__lightning-2358,98035004456187930bfd857594f67158d22aa833,73,6,67,0.35003384947776794,0.3375082314014435
Lightning-AI__lightning-2358,5a2ec0bdf6222c5f61a2f10c530b3541ed960694,133,4,129,0.2927609384059906,0.389934241771698
Lightning-AI__lightning-2358,7400b390c239f8d14b00394319d3f169ee8d82e8,87,20,67,0.3318380117416382,0.25140446424484253
Lightning-AI__lightning-2358,94818ce7f0b06eb1e12151b5e5cca7af6283b94e,102,247,-145,0.3203067183494568,-0.18326202034950256
Lightning-AI__lightning-2358,d9ca689167b70aa970a8705d753dc586d25fe647,114,27,87,0.3094799816608429,0.22771000862121582
Lightning-AI__lightning-3320,68cd1052148c7dbed86e85d5f8fc7af3a1a0720a,85,8,77,0.3863801062107086,0.19609683752059937
Lightning-AI__lightning-3320,50cd43967421e2eed3928e44fbf759a564e57d87,9,32,-23,0.5098382234573364,0.15204662084579468
Lightning-AI__lightning-3320,63dddd1aa12f289f9297e90e4039b45f39f2030d,79,2,77,0.3939937949180603,0.2383991777896881
Lightning-AI__lightning-3320,0f7df23e718a88c530863afaeaa4ca624d93eb85,123,9,114,0.3545466661453247,0.19025185704231262
Lightning-AI__lightning-3320,b6b1bd85f1a1f2378f9655e519a0653590b8a14d,97,6,91,0.3747349977493286,0.2023639976978302
Lightning-AI__lightning-3320,26d906a7944491fabd943578c74ffa0f58f41729,55,1,54,0.42010802030563354,0.30225425958633423
9698,3a7f1c6a3ca0092f72d69038c3fb75225eca310a,392,64,328,0.29188844561576843,0.15738055109977722
9698,d9e0b226f143f8b23f322609dc0b096fcda2c4fb,1180,23,1157,0.1940966248512268,0.18050624430179596
Lightning-AI__lightning-2917,9d462ef8f36aad8644d0900ad9b1a86482e6f8e6,24,2,22,0.4568517208099365,0.4231157898902893
Lightning-AI__lightning-2917,16cdace5ce25a6f43c30c8b84e829dc3abe09ed4,44,20,24,0.42571699619293213,0.28118711709976196
Lightning-AI__lightning-74,4076741008ab5ce71f4eeb08c1b61cfa0ddf6158,3,2,1,0.3128517270088196,0.31352829933166504
Lightning-AI__lightning-1863,55c63679ae9f67e92dc2a20fd3f1797278ab00fd,2,1,1,0.5594385862350464,0.5084224939346313
Lightning-AI__lightning-1100,f8470b0ec7e90e00ceb5c0021ea0a2a2646a025d,53,2,51,0.3080061972141266,0.2618364691734314
Lightning-AI__lightning-1100,8c5a906fc35733b0b0b2830a728cbd2fc82ec6c6,171,30,141,0.17456138134002686,0.1817646622657776
Lightning-AI__lightning-2528,9f75ec3b43c7f1e01ecf7d4f5ac12475902e85a3,252,1,251,0.21150162816047668,0.32650232315063477
Lightning-AI__lightning-2528,c80bc5599a4de3f06c9013c8513c7b77747093f1,142,40,102,0.2964158058166504,0.25572749972343445
Lightning-AI__lightning-2528,18a3df7819a403552f4f8b436412d54f7f5b11c5,180,2,178,0.2705945074558258,0.3262280225753784
Lightning-AI__lightning-2528,612f8ee3b2cf1e080d960e760ff1da4add87d8c6,194,71,123,0.260511577129364,0.19763688743114471
Lightning-AI__lightning-1572,80f82d917396f1bbc4ce693a3a71ec24c6d620d2,18,7,11,0.38999542593955994,0.33836373686790466
Lightning-AI__lightning-1572,e01f1dbb497d1f72db50e6386983887051409be8,46,4,42,0.3147038519382477,0.3651599586009979
Lightning-AI__lightning-1572,f305c06b59d9bf725a56b6cd60337d3ff8789e5b,13,123,-110,0.400793194770813,0.0047338660806417465
Lightning-AI__lightning-2962,dbf13c34349c77e22c45b315cd167c0f8c178951,64,17,47,0.39444059133529663,0.3814072608947754
Lightning-AI__lightning-3066,a4452d86fe7960c6c6f1c5be25f08a54a21f3d04,158,21,137,0.3828341066837311,0.26262253522872925
Lightning-AI__lightning-2220,43fee3477abf9b8316f36540b7f31f02c37bfe0b,121,60,61,0.27909767627716064,0.1561940312385559
Lightning-AI__lightning-2220,70fc5bb7106efacfcb20ca4bfe2174bc7b41ae80,97,233,-136,0.31060102581977844,-0.11119978874921799
Lightning-AI__lightning-2220,9938faca2ec1da63e0c20bbac4ba099e2851965a,73,59,14,0.33312883973121643,0.15674671530723572
Lightning-AI__lightning-2220,28388cd2aeeb5441ec37cbbe3aa34ec59527ea2d,146,4,142,0.2520180642604828,0.3331931233406067
Lightning-AI__lightning-2220,c01105222453f4822852e31f5e5b9545c1fb5bd4,64,7,57,0.3379824757575989,0.3133314251899719
Lightning-AI__lightning-2220,6cc2ac55c53e26bca7166c4563c05d5fe2afb15e,213,10,203,0.19051730632781982,0.28093183040618896
Lightning-AI__lightning-2220,817215202992f074af8530e9e274fc5da04d8f54,220,27,193,0.17581230401992798,0.20991107821464539
