bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,80,-12,0.25714945793151855,0.44599002599716187
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,33,43,0.24977034330368042,0.5148416757583618
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,16,148,0.27002716064453125,0.4786575436592102
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,11,6,0.4810101091861725,0.5107452869415283
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,20,-9,0.573320746421814,0.527916669845581
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,19,-5,0.3605991005897522,0.4970661997795105
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,17,-2,0.3589259386062622,0.5059455633163452
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,16,54,0.32043343782424927,0.5684195756912231
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,2,120,0.25943443179130554,0.60056471824646
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,1,92,0.28023841977119446,0.6212864518165588
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,5,27,0.32973164319992065,0.5843736529350281
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,36,79,0.3672071099281311,0.5119258761405945
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,14,45,0.3636322021484375,0.49909061193466187
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,34,-28,0.6334232091903687,0.4827151298522949
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,9,60,0.4187467098236084,0.5018177628517151
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,86,-56,0.49343669414520264,0.4554676413536072
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,21,-3,0.30153483152389526,0.4239092171192169
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,8,19,0.2595125436782837,0.4649498462677002
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,24,-10,0.44513440132141113,0.5140163898468018
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,18,-15,0.6056296229362488,0.49653828144073486
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,8,5,0.5578810572624207,0.5087496638298035
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,93,-52,0.4992513358592987,0.4373181462287903
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,4,2,0.578210175037384,0.5240357518196106
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,141,-28,0.38072168827056885,0.41463136672973633
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,4,3,0.4226216971874237,0.5519322156906128
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,3,-1,0.44911062717437744,0.5559012293815613
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,103,15,0.3043360114097595,0.43561041355133057
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,24,8,0.4818832576274872,0.5124901533126831
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,79,-65,0.37676578760147095,0.44043126702308655
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,38,73,0.22763948142528534,0.4896809458732605
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,69,-16,0.49532902240753174,0.5052127838134766
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,102,-50,0.4750838875770569,0.4060209393501282
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,25,107,0.20182877779006958,0.5086891055107117
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,49,93,0.3234509825706482,0.44602444767951965
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,4,14,0.5899532437324524,0.5290472507476807
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,13,7,0.4839382767677307,0.5299583077430725
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,12,4,0.5734025239944458,0.5237000584602356
