bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,139,-71,0.25714945793151855,0.3746585249900818
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,27,49,0.24977034330368042,0.5209939479827881
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,25,139,0.27002716064453125,0.5388853549957275
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,2,15,0.4810101091861725,0.5686078071594238
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,32,-21,0.573320746421814,0.5473285913467407
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,21,-7,0.3605991005897522,0.4832350015640259
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,9,6,0.3589259386062622,0.5440537929534912
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,50,20,0.32043343782424927,0.5017349720001221
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,6,116,0.25943443179130554,0.43824219703674316
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,4,89,0.28023841977119446,0.44130396842956543
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,1,31,0.32973164319992065,0.48059457540512085
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,105,10,0.3672071099281311,0.46315109729766846
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,1,58,0.3636322021484375,0.5724895000457764
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,11,-5,0.6334232091903687,0.47554102540016174
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,8,61,0.4187467098236084,0.5211268663406372
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,116,-86,0.49343669414520264,0.40792718529701233
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,10,8,0.30153483152389526,0.41577017307281494
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,1,26,0.2595125436782837,0.47398942708969116
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,27,-13,0.44513440132141113,0.48549121618270874
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,1,2,0.6056296229362488,0.502702534198761
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,4,9,0.5578810572624207,0.4786180257797241
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,38,3,0.4992513358592987,0.4241149425506592
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,2,4,0.578210175037384,0.4950558841228485
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,108,5,0.38072168827056885,0.37667614221572876
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,3,4,0.4226216971874237,0.5134173035621643
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,6,-4,0.44911062717437744,0.47188884019851685
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,69,49,0.3043360114097595,0.46526652574539185
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,6,26,0.4818832576274872,0.5554085373878479
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,4,10,0.37676578760147095,0.48518386483192444
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,68,43,0.22763948142528534,0.3985309302806854
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,56,-3,0.49532902240753174,0.4639233946800232
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,98,-46,0.4750838875770569,0.34351253509521484
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,8,124,0.20182877779006958,0.5525531768798828
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,39,103,0.3234509825706482,0.4613264799118042
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,1,17,0.5899532437324524,0.5253598690032959
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,98,-78,0.4839382767677307,0.4578847289085388
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,3,13,0.5734025239944458,0.5776770114898682
