bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
pydata__xarray-3159,a8bb5532f1fcb791c770fc4b404f1bdb828882cd,68,92,-24,0.25714945793151855,0.33599966764450073
pydata__xarray-3159,e3e543b662149ff300089dcdb1a718d791768a5b,76,4,72,0.24977034330368042,0.45670998096466064
pydata__xarray-4356,41c8d258d7a5020c330fbbff080ae36465efac48,164,18,146,0.27002716064453125,0.5103952884674072
pydata__xarray-4423,53849a3eac89edc331f80fec812cb7edf420fd04,17,13,4,0.4810101091861725,0.4786098003387451
pydata__xarray-6599,823cbe025609f4dd4e3165185c30d338ef1cfd11,11,18,-7,0.573320746421814,0.4825294613838196
8328,8a9cf165eba319fd18b453cf92a82865fcb784ce,14,17,-3,0.3605991005897522,0.36247116327285767
8328,8bf5465e48a44107935a5ce8ba8a2b4573ec34b3,15,2,13,0.3589259386062622,0.42748671770095825
pydata__xarray-4098,299cb8ec4fa531f98a0a4d0be01402d247b38944,70,14,56,0.32043343782424927,0.4662313163280487
pydata__xarray-4827,5cda5aa903ccc56580fd80c48e013570b714be09,122,3,119,0.25943443179130554,0.4187209904193878
pydata__xarray-4827,86ed1870302f30ad6b0df0fcd1412945aaa2f04b,93,2,91,0.28023841977119446,0.4273105263710022
pydata__xarray-4827,d29a9e1ff02425841ddc0d66863cc2c9b76320a7,32,1,31,0.32973164319992065,0.45050230622291565
pydata__xarray-7101,42cc8130810bb70812c50b6d697a3cb1e811c229,115,6,109,0.3672071099281311,0.43753814697265625
pydata__xarray-3677,ac0a923db78b73c4559d45e8946fbcff7e899c73,59,6,53,0.3636322021484375,0.4166397452354431
pydata__xarray-4695,32b24ef1f39e164f3a8d0c26c80ec1625c1ef0e9,6,4,2,0.6334232091903687,0.4518405497074127
pydata__xarray-4684,59f8b89743a5618262c6c917ec5511448b30f7b8,69,23,46,0.4187467098236084,0.4441779851913452
pydata__xarray-7393,ba937183d24185105fa2590a478e2b26df5540e8,30,40,-10,0.49343669414520264,0.3245704174041748
8322,c25b1d3e02210701c8f33fdf0f49f7492427281e,18,3,15,0.30153483152389526,0.43445122241973877
8322,1cacff12e3d6fae05a31476324bb0abe71d830c9,27,2,25,0.2595125436782837,0.4662182331085205
pydata__xarray-6601,8d450cceef9c4fe6d1939bcd480dd76d370756af,14,13,1,0.44513440132141113,0.47849857807159424
pydata__xarray-7112,794984b7a1b5535641ebef5ca0e1fc72dc2cbc88,3,13,-10,0.6056296229362488,0.32123255729675293
pydata__xarray-7112,0733d0d52364316f06b4da8cba5f3cab98698564,13,6,7,0.5578810572624207,0.341269314289093
pydata__xarray-7112,0320ea81052830f21a344e1b4d56654f562a667b,41,95,-54,0.4992513358592987,0.2574683427810669
pydata__xarray-7112,ad5eeb6f97fbbc1007367315e2644ac7ed06756b,6,4,2,0.578210175037384,0.34571218490600586
pydata__xarray-7112,be5e06becdfe4c5aee514504fc8b744fe191f880,113,30,83,0.38072168827056885,0.3037918210029602
8315,4d5141e9d5a120ed33f8c42c68a5cb4cb4f5168c,7,4,3,0.4226216971874237,0.4188271164894104
8315,033737409f3c659cd130a2155f8e2dc65994fc2f,2,2,0,0.44911062717437744,0.45442673563957214
pydata__xarray-5365,10f16e58081613a1454de0359467674def5dafab,118,160,-42,0.3043360114097595,0.2554379999637604
pydata__xarray-5365,191b777107af67882827d9558a3f16555176588b,32,1,31,0.4818832576274872,0.4580838084220886
pydata__xarray-4750,de4c0efca0a1f8b352d8ef70ee95ad1e693b4d8f,14,27,-13,0.37676578760147095,0.3398045301437378
pydata__xarray-4750,07eddb4996072a4d31bd2c116a82e416f4289d5a,111,220,-109,0.22763948142528534,0.133897066116333
pydata__xarray-7229,3f7e8f742f625b6a59afd03abfba88cc1f3493cf,53,65,-12,0.49532902240753174,0.35606783628463745
8309,8b9f31bfdfd2a3c994e86507ca524d8acfb1557a,52,9,43,0.4750838875770569,0.38510745763778687
pydata__xarray-3527,c73ee3cf7c5fcb7185ecfbfc2e4aac196b84cee3,132,6,126,0.20182877779006958,0.47146326303482056
pydata__xarray-4339,5502ba72855d6c7270bf870c13d0c2755126cfbf,142,19,123,0.3234509825706482,0.3722805380821228
pydata__xarray-4940,9faf74dd4bcd0754f452d930a9cc65ecd88e1409,18,1,17,0.5899532437324524,0.5825618505477905
pydata__xarray-6889,f7cc30b9eab795390d629db11663d70a479bf57a,20,2,18,0.4839382767677307,0.4307246804237366
pydata__xarray-3406,62c055fed51d7f9226ad292f6e82a9f27b7e55fe,16,12,4,0.5734025239944458,0.46131324768066406
