bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,321,532,0.14771632850170135,0.143320232629776
jupyterlab__jupyterlab-3481,65ee3711ef3c884c1a42173e8f1e09537ef483cd,846,200,646,0.1498335301876068,0.1878143846988678
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,16,13,0.3430691063404083,0.3180543780326843
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,1,19,0.3963467478752136,0.5454805493354797
jupyterlab__jupyterlab-13907,4cb2de4ae8fb1d264c7acd2f224c4548808a7d26,331,47,284,0.3059731125831604,0.36304396390914917
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,741,-170,0.2693433165550232,0.1010710746049881
jupyterlab__jupyterlab-6585,bc852a6d8af6b3c1e5acb759602258b9bcfee7b5,504,16,488,0.30889901518821716,0.2886030673980713
jupyterlab__jupyterlab-6585,41bee80e4ea13988ef20f0e6b591b59d7742a3e6,1404,1,1403,0.17738132178783417,0.3288364112377167
jupyterlab__jupyterlab-5723,f4b83a68524ef4d27b02b90a677ec5775e4e6b9e,694,3,691,0.29599735140800476,0.40386518836021423
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,2,499,0.3198380172252655,0.44858086109161377
jupyterlab__jupyterlab-2488,75621dd2531c5564c97ccbc23cc9aad069754212,386,19,367,0.2981371581554413,0.30593347549438477
jupyterlab__jupyterlab-8913,69b8409fb893411f1e1c3fabefdaf71e3cd0e601,448,888,-440,0.3191163241863251,0.10113678872585297
jupyterlab__jupyterlab-8913,9b6f7bccd8304a127cdbb1c13c2173f64a3cf9f2,321,11,310,0.3477058410644531,0.30984777212142944
jupyterlab__jupyterlab-8913,c8c43413d0145252eea4816776451196addefd50,315,7,308,0.3482683598995209,0.33026278018951416
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,1567,-370,0.2673693299293518,-0.05585598200559616
jupyterlab__jupyterlab-8956,9ba75956ab2a7501c887d939c04d251aff4cb03e,201,133,68,0.41504907608032227,0.25125089287757874
jupyterlab__jupyterlab-8956,e09c615464b116cee90935976a40c11d06a6f654,921,1286,-365,0.29622334241867065,0.032439541071653366
jupyterlab__jupyterlab-8956,3607df493ccf6e38f7a5165c18b38d4880b9e5ee,1486,19,1467,0.21884359419345856,0.2999027371406555
jupyterlab__jupyterlab-8956,0dbd7642f36013f31d6d0d7e98cfd4acad94cde1,1313,134,1179,0.2495490461587906,0.24996615946292877
jupyterlab__jupyterlab-8956,ad93fdba23baed1a9ca8b81626b587a8401d55db,1354,387,967,0.24312837421894073,0.18226927518844604
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,116,162,0.20784813165664673,0.12911656498908997
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,32,98,0.2667600214481354,0.1969723403453827
jupyterlab__jupyterlab-2410,228bd6096f930734c9351c1fa408995b32673a0c,486,48,438,0.1845189779996872,0.23660200834274292
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,3,603,0.10914197564125061,0.3718326985836029
jupyterlab__jupyterlab-9232,02db2fddc8e6c88b13fae7d5a4d8c4936eeacbcc,75,17,58,0.4034442603588104,0.33100491762161255
jupyterlab__jupyterlab-8780,4dc1224b3270d340fe37c1534139090d43070535,1235,86,1149,0.22650566697120667,0.19561517238616943
jupyterlab__jupyterlab-2841,860333919415e9d5ade3fb435d90c376710b18f1,320,436,-116,0.29319193959236145,0.066962331533432
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,16,447,0.2399817407131195,0.3601796329021454
jupyterlab__jupyterlab-9390,4a1295698dc5c88a1716604b0f94c66298de5ad8,310,53,257,0.294444739818573,0.36852070689201355
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,18,1126,0.22484806180000305,0.4064711332321167
jupyterlab__jupyterlab-9021,d1cda444f2275ccbec870133de0211bfa86c3df0,452,3,449,0.2889544367790222,0.4190051555633545
jupyterlab__jupyterlab-2069,1a265a9700643315f1e1ea1413c6a8992e778648,565,1,564,0.1793801337480545,0.3733375072479248
