bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
numpy__numpy-14882,1c3b11844b45ea5660db5b77a3b02ff5a2712589,64,144,-80,0.6394898891448975,0.3665558397769928
numpy__numpy-18634,bfd08e4691aa426c1a65e791d73e4f7abb08a168,743,564,179,0.3343447744846344,0.11048862338066101
numpy__numpy-18634,83f06fde8581ac56880e358156fd5d7c48b0a011,43,757,-714,0.5275682806968689,0.06660881638526917
numpy__numpy-13948,739ae7711d2215831e3f4bbdfa98e45f79377688,185,2,183,0.39376455545425415,0.28617650270462036
numpy__numpy-3495,eda3ef97cd73719365072e71521c2341c18707f5,2,5,-3,0.5906985402107239,0.4524807929992676
numpy__numpy-3866,8f0027616961d19cf968e7eba698893538609844,337,45,292,0.2801106572151184,0.32432448863983154
numpy__numpy-3866,44cc2b1632e2c935cd9c187647c5a58710de80e1,33,2,31,0.4050058424472809,0.522407054901123
numpy__numpy-9817,130817e7a150d31da2b5a5c119584c58f46e50e6,381,1,380,0.3241639733314514,0.5163400173187256
numpy__numpy-5398,db491e6f5d74ca863a1b30818f46d0253f2563f9,394,109,285,0.27658602595329285,0.30453673005104065
numpy__numpy-5398,c14d2e3575ee953b15008ea439710c1222fe6d9e,51,4,47,0.4577304720878601,0.5883772969245911
numpy__numpy-5398,9ca9136dd9221f46b4e0cab88d6d04f1ab239d9e,84,1,83,0.42173025012016296,0.6225205659866333
numpy__numpy-19613,813063adb6de06481992e6ce3247d21bf5af0274,217,20,197,0.41118741035461426,0.3604797124862671
numpy__numpy-16022,93eb74be31a8c15f417176d7ac09e246c3acbd5f,4,1,3,0.6903221607208252,0.6217247247695923
numpy__numpy-16022,d2986012b7ace617e407eeaa62d7b87e4167489a,62,4,58,0.5965926051139832,0.5632948279380798
numpy__numpy-22519,8830b814743c35ba471ae96012c54600aca9f280,334,1,333,0.34000203013420105,0.6532026529312134
numpy__numpy-11449,186ed949d863972ce80caca0f92af09422384297,161,37,124,0.44937413930892944,0.4813518524169922
numpy__numpy-6453,c5b5b5a8f0ea8024638f923618d173a000d1ea29,262,89,173,0.39913955330848694,0.36963993310928345
numpy__numpy-16627,d0ed3d38111171f8fea9a5512a04733b71f80b8f,334,11,323,0.3572928309440613,0.4602091312408447
numpy__numpy-16627,a9ee74a5be2560ac73649476bd973d8ffb349ac0,405,44,361,0.34616515040397644,0.4011414051055908
numpy__numpy-16627,412d9fe6a13a754ae8613d7c8a642cbba468a19d,328,35,293,0.3590431809425354,0.4139128029346466
numpy__numpy-9976,8f2e45fa53cad636a00af3ebb456d54536b97baa,74,1,73,0.43368715047836304,0.4449147582054138
numpy__numpy-8646,3bbee0258bfc1a9739ab24fb3a259cb471a5f6da,237,119,118,0.20039066672325134,0.23706430196762085
numpy__numpy-23010,138f2e9a051ada4461aaf218eb32d50458294a27,372,166,206,0.38223302364349365,0.17672762274742126
numpy__numpy-23010,b64f8ab173cb080e8624c4ea9bc499748a85f502,1302,262,1040,0.28867679834365845,0.15615436434745789
numpy__numpy-23010,a94ba1139168a84bbdd949dc9c9db8373f9c63c6,1318,537,781,0.2855338752269745,0.11839835345745087
numpy__numpy-23010,2e35f5bb9e1d10fbba672495ec82e16b11f05c4b,1355,425,930,0.2845021188259125,0.13189765810966492
numpy__numpy-23010,587fab3435735cb7f7b790fc4cf73d7f75d37388,1866,1233,633,0.13881376385688782,0.04612225666642189
numpy__numpy-23010,ca07bd180c0ea0c3f22282e10ba0ddde6cbba65a,939,156,783,0.3255554437637329,0.17962682247161865
numpy__numpy-19098,ae1e6a180625e737506baedf049994146237443d,187,2,185,0.3959144353866577,0.5540781021118164
numpy__numpy-12488,0379ecb1ada2ab9b39f1100515a3ac51b343e458,118,53,65,0.4220801591873169,0.2423546314239502
numpy__numpy-18070,c22ceaa5e42fb2ab389bfd078276c52aaa3968bb,668,203,465,0.4099513292312622,0.3039754033088684
numpy__numpy-18070,6c6c1ff809ce5315f1fa9eb204e0b546af8925c0,147,3,144,0.5275897979736328,0.5698733329772949
numpy__numpy-3753,6873a4785d984b1b19127994fafe48dc1c8587f5,107,1,106,0.39953646063804626,0.43485307693481445
numpy__numpy-13306,a1997ef6b90017dba07de1f65ead1d84ab79eaeb,433,274,159,0.2822223901748657,0.20596760511398315
numpy__numpy-11450,1664e6ebb08da8ffd047cb8775f8275d9913f9e6,176,122,54,0.3479723036289215,0.24949811398983002
